á	a u
kveðja	kʰ v ɛ ð j a
kveðjum	kʰ v ɛ ð j ʏ m
kveðjur	kʰ v ɛ ð j ʏ r
kveðjurnar	kʰ v ɛ ð j ʏ r t n a r
kveðst	kʰ v ɛ ð s t
kveður	kʰ v ɛ ð ʏ r
kvefi	kʰ v ɛ v ɪ
kveiki	kʰ v e i c ɪ
kveikir	kʰ v e i c ɪ r
kveikja	kʰ v e i c a
kveikjara	kʰ v e i c a r a
kveikt	kʰ v e i x t
kveikti	kʰ v e i k t ɪ
kveiktu	kʰ v e i k t ʏ
kveldúlfur	kʰ v ɛ l t u l v ʏ r
kvenfólk	kʰ v ɛ n f o u l̥ k
kvenfólkið	kʰ v ɛ n f o u l̥ k ɪ ð
kvenleg	kʰ v ɛ n l ɛ ɣ
kvenlegt	kʰ v ɛ n l ɛ ɣ t
kvenna	kʰ v ɛ n a
kvennaathvarfið	kʰ v ɛ n n a a tʰ xʷ a r v ɪ ð
kvennabósi	kʰ v ɛ n n a p o u s ɪ
kvennabraut	kʰ v ɛ n n a p r ø y t
kvennabrekku	kʰ v ɛ n n a p r ɛ h k ʏ
kvennadeildinni	kʰ v ɛ n n a t e i l t ɪ n ɪ
kvennaflokki	kʰ v ɛ n n a p l ɔ h c ɪ
kvennaframboð	kʰ v ɛ n n a v r a m p ɔ ð
kvennaframboði	kʰ v ɛ n n a v r a m p ɔ ð ɪ
kvennaframboðs	kʰ v ɛ n n a v r a m p ɔ ð s
kvennafrídaginn	kʰ v ɛ n n a f r i t a j ɪ n
kvennafrís	kʰ v ɛ n n a f r i s
kvennahóli	kʰ v ɛ n n a h o u l ɪ
kvennalið	kʰ v ɛ n a l ɪ ð
kvennalista	kʰ v ɛ n a l ɪ s t a
kvennamenningar	kʰ v ɛ n n a m ɛ n i ŋ k a r
kvennaskólinn	kʰ v ɛ n a s k o u l ɪ n
kvennastörf	kʰ v ɛ n a s t œ r v
kvennastörfum	kʰ v ɛ n a s t œ r̥ f ʏ m
kvennasveitarinnar	kʰ v ɛ n a s v e i t a r ɪ n a r
kvenréttindum	kʰ v ɛ n r j ɛ h t ɪ n t ʏ m
kvensamur	kʰ v ɛ n s a m ʏ r
kvenþjóðinni	kʰ v ɛ n θ j o u ð ɪ n ɪ
kverná	kʰ v ɛ r n a u
kvíabekk	kʰ v i a p ɛ h k
kvíabóli	kʰ v i a p o u l ɪ
kvíabólsstíg	kʰ v i a p o u l s s t i ɣ
kvíaholti	kʰ v i a h ɔ l̥ t ɪ
kvíarhóli	kʰ v i a r h o u l ɪ
kvíarholti	kʰ v i a r h ɔ l̥ t ɪ
kvíarnar	kʰ v i a r t n a r
kvíða	kʰ v i ð a
kviðdómur	kʰ v ɪ ð t o u m ʏ r
kvíðið	kʰ v i ð ɪ ð
kviðinn	kʰ v ɪ ð ɪ n
kvíðir	kʰ v i ð ɪ r
kvíga	kʰ v i ɣ a
kvígindisdal	kʰ v i j ɪ n t ɪ s t a l
kvígindisfelli	kʰ v i j ɪ n t ɪ s f ɛ t l ɪ
kvígsstöðum	kʰ v i ɣ s t œ ð ʏ m
kvikasilfur	kʰ v ɪ k a s ɪ l v ʏ r
kvikmynd	kʰ v ɪ k m ɪ n t
kvikmynda	kʰ v ɪ k m ɪ n t a
kvikmyndaakademíunnar	kʰ v ɪ k m ɪ n t a a k a t ɛ m i j ʏ n a r
kvikmyndafélags	kʰ v ɪ k m ɪ n t a f j ɛ l a x s
kvikmyndagerð	kʰ v ɪ k m ɪ n t a c ɛ r ð
kvikmyndahátíð	kʰ v ɪ k m ɪ n t a h a u tʰ i ð
kvikmyndaheiminn	kʰ v ɪ k m ɪ n t a h e i m ɪ n
kvikmyndahúsi	kʰ v ɪ k m ɪ n t a h u s ɪ
kvikmyndahúsum	kʰ v ɪ k m ɪ n t a h u s ʏ m
kvikmyndaskóla	kʰ v ɪ k m ɪ n t a s k o u l a
kvikmyndatöku	kʰ v ɪ k m ɪ n t a tʰ œ k ʏ
kvikmyndavélar	kʰ v ɪ k m ɪ n t a v j ɛ l a r
kvikmyndin	kʰ v ɪ k m ɪ n t ɪ n
kvikmyndina	kʰ v ɪ k m ɪ n t ɪ n a
kvikmyndir	kʰ v ɪ k m ɪ n t ɪ r
kvikmyndum	kʰ v ɪ k m ɪ n t ʏ m
kviknaði	kʰ v ɪ k n a ð ɪ
kviknaktar	kʰ v ɪ k n a x t a r
kviksyndi	kʰ v ɪ k s ɪ n t ɪ
kvískerjum	kʰ v i s c ɛ r j ʏ m
kvíslarhóli	kʰ v i s t l a r h o u l ɪ
kvíslartungu	kʰ v i s t l a r tʰ u ŋ k ʏ
kvíslatungu	kʰ v i s t l a tʰ u ŋ k ʏ
kvíslhöfða	kʰ v i s t l h œ v ð a
kvistabergi	kʰ v ɪ s t a p ɛ r c ɪ
kvistahlíð	kʰ v ɪ s t a l̥ i ð
kvistalandi	kʰ v ɪ s t a l a n t ɪ
kvistási	kʰ v ɪ s tʰ a u s ɪ
kvisthaga	kʰ v ɪ s t h a ɣ a
kvistholti	kʰ v ɪ s t h ɔ l̥ t ɪ
kvisti	kʰ v ɪ s t ɪ
kvödd	kʰ v œ t
kvöld	kʰ v œ l t
kvöldblæinn	kʰ v œ l t p l a i j ɪ n
kvöldfréttum	kʰ v œ l t f r j ɛ h t ʏ m
kvöldi	kʰ v œ l t ɪ
kvöldið	kʰ v œ l t ɪ ð
kvöldin	kʰ v œ l t ɪ n
kvöldinu	kʰ v œ l t ɪ n ʏ
kvöldsins	kʰ v œ l t s ɪ n s
kvöldverðarboð	kʰ v œ l t v ɛ r ð a r p ɔ ð
kvöldverðarborðið	kʰ v œ l t v ɛ r ð a r p ɔ r ð ɪ ð
kvöldverðinn	kʰ v œ l t v ɛ r ð ɪ n
kvöldverður	kʰ v œ l t v ɛ r ð ʏ r
kvöldverðurinn	kʰ v œ l t v ɛ r ð ʏ r ɪ n
kvölina	kʰ v œ l ɪ n a
kvörtun	kʰ v œ r̥ t ʏ n
kvoslæk	kʰ v ɔ s l a i k
kvóta	kʰ v o u t a
kvótakerfi	kʰ v o u t a cʰ ɛ r v ɪ
kvótakerfinu	kʰ v o u t a cʰ ɛ r v ɪ n ʏ
kvótakerfis	kʰ v o u t a cʰ ɛ r v ɪ s
kvótamálum	kʰ v o u t a m a u l ʏ m
kvótann	kʰ v o u tʰ a n
kvóti	kʰ v o u t ɪ
kvótinn	kʰ v o u t ɪ n
kyla	cʰ ɪ l a
kylfinga	cʰ ɪ l̥ f i ŋ k a
kylfingana	cʰ ɪ l̥ f i ŋ k a n a
kylfingar	cʰ ɪ l̥ f i ŋ k a r
kylfu	cʰ ɪ l̥ ʏ
kyljuholti	cʰ ɪ l j ʏ h ɔ l̥ t ɪ
kyn	cʰ ɪ n
kynbætur	cʰ ɪ n p a i t ʏ r
kynbomba	cʰ ɪ n p ɔ m p a
kynbótasýningin	cʰ ɪ n p o u t a s i n i ɲ c ɪ n
kynbundnu	cʰ ɪ n p ʏ n t n ʏ
kyndla	cʰ ɪ n t l a
kynfæri	c ɪ n f a i r ɪ
kynfærum	c ɪ n f a i r ʏ m
kynferðisafbrot	c ɪ n f ɛ r ð ɪ s a v p r ɔ t
kynferðisbrot	c ɪ n f ɛ r ð ɪ s p r ɔ t
kynferðisbrota	c ɪ n f ɛ r ð ɪ s p r ɔ t a
kynferðisglæpi	c ɪ n f ɛ r ð ɪ s k l a i p ɪ
kynferðislega	c ɪ n f ɛ r ð ɪ s l ɛ ɣ a
kynferðislegu	c ɪ n f ɛ r ð ɪ s l ɛ ɣ ʏ
kynferðisofbeldis	c ɪ n f ɛ r ð ɪ s ɔ v p ɛ l t ɪ s
kyngir	cʰ i ɲ c ɪ r
kyngja	cʰ i ɲ c a
kynhneigð	cʰ ɪ n n̥ e i ɣ ð
kynhneigðin	cʰ ɪ n n̥ e i ɣ ð ɪ n
kynjamisrétti	cʰ ɪ n j a m ɪ s r j ɛ h t ɪ
kynjanna	cʰ ɪ n j a n a
kynjuð	cʰ ɪ n j ʏ ð
kynlegs	cʰ ɪ n l ɛ ɣ s
kynlegur	cʰ ɪ n l ɛ ɣ ʏ r
kynlíf	cʰ ɪ n l i v
kynlífi	cʰ ɪ n l i v ɪ
kynlífið	cʰ ɪ n l i v ɪ ð
kynna	cʰ ɪ n a
kynnast	cʰ ɪ n a s t
kynni	cʰ ɪ n ɪ
kynning	cʰ ɪ n i ŋ k
kynningarmynd	cʰ ɪ n i ŋ k a r m ɪ n t
kynningarstjóri	cʰ ɪ n i ŋ k a r s t j o u r ɪ
kynningu	cʰ ɪ n i ŋ k ʏ
kynnir	cʰ ɪ n ɪ r
kynnisferða	cʰ ɪ n ɪ s f ɛ r ð a
kynnisferðir	cʰ ɪ n ɪ s f ɛ r ð ɪ r
kynnst	cʰ ɪ n s t
kynnt	cʰ ɪ n̥ t
kynntar	cʰ ɪ n tʰ a r
kynnti	cʰ ɪ n̥ t ɪ
kynntir	cʰ ɪ n̥ t ɪ r
kynntu	cʰ ɪ n tʰ ʏ
kynntur	cʰ ɪ n̥ t ʏ r
kynntust	cʰ ɪ n̥ t ʏ s t
kyns	cʰ ɪ n s
kynsjúkdómum	cʰ ɪ n s j u k t o u m ʏ m
kynslóðabilið	cʰ ɪ n s t l o u ð a p ɪ l ɪ ð
kynsvalli	cʰ ɪ n s v a l ɪ
kynþáttafordóma	cʰ ɪ n θ a u h t a f ɔ r t o u m a
kynþáttahatur	cʰ ɪ n θ a u h t a h a t ʏ r
kynþokka	cʰ ɪ n θ ɔ h k a
kynþokkafull	cʰ ɪ n θ ɔ h k a f ʏ t l
kynþokkafullum	cʰ ɪ n θ ɔ h k a f ʏ t l ʏ m
kynþokki	cʰ ɪ n θ ɔ h c ɪ
kýpur	cʰ i p ʏ r
kyrjaði	cʰ ɪ r j a ð ɪ
kýrnar	cʰ i r t n a r
kyrr	cʰ ɪ r
kyrrahafið	cʰ ɪ r a h a f ɪ ð
kyrrsetning	cʰ ɪ r̥ s ɛ h t n i ŋ k
kyrrsetningu	cʰ ɪ r̥ s ɛ h t n i ŋ k ʏ
kyrrsett	cʰ ɪ r s ɛ h t
kyrrsettar	cʰ ɪ r s ɛ t tʰ a r
kyrrstæðan	cʰ ɪ r s t a i ð a n
kyrrstæðum	cʰ ɪ r s t a i ð ʏ m
kyrrstöðumönnum	cʰ ɪ r s t œ ð ʏ m œ n ʏ m
kyrrt	cʰ ɪ r̥ t
kyrru	cʰ ɪ r ʏ
kyrrum	cʰ ɪ r ʏ m
kýrunnarstöðum	cʰ i r ʏ n a r s t œ ð ʏ m
kýs	cʰ i s
kyssast	cʰ ɪ s a s t
lá	l a u
laða	l a ð a
laðaði	l a ð a ð ɪ
laðar	l a ð a r
laðast	l a ð a s t
læddi	l a i t ɪ
læddist	l a i t ɪ s t
lægðin	l a i ɣ ð ɪ n
lægir	l a i j ɪ r
lægja	l a i j a
lægra	l a i ɣ r a
lægri	l a i ɣ r ɪ
lægsta	l a i ɣ s t a
lægstu	l a i ɣ s t ʏ
lægt	l a i ɣ t
læk	l a i k
lækjamóti	l a i c a m o u t ɪ
lækjamótum	l a i c a m o u tʰ ʏ m
lækjar	l a i c a r
lækjarási	l a i c a r a u s ɪ
lækjarbakka	l a i c a r p a h k a
lækjarbergi	l a i c a r p ɛ r c ɪ
lækjarbotnalandi	l a i c a r p ɔ h t n a l a n t ɪ
lækjarbotnum	l a i c a r p ɔ h t n ʏ m
lækjarbraut	l a i c a r p r ø y t
lækjarbrekku	l a i c a r p r ɛ h k ʏ
lækjardal	l a i c a r t a l
lækjarflöt	l a i c a r̥ f l œ t
lækjargötu	l a i c a r k œ t ʏ
lækjarhlíð	l a i c a r l̥ i ð
lækjarholti	l a i c a r h ɔ l̥ t ɪ
lækjarhvammi	l a i c a r xʷ a m ɪ
lækjarkinn	l a i c a r̥ c ɪ n
lækjarmel	l a i c a r m ɛ l
lækjarmóti	l a i c a r m o u t ɪ
lækjarnesi	l a i c a r t n ɛ s ɪ
lækjarósi	l a i c a r o u s ɪ
lækjarseli	l a i c a r̥ s ɛ l ɪ
lækjarskógi	l a i c a r s k o u c ɪ
lækjarstíg	l a i c a r̥ s t i ɣ
lækjarteigi	l a i c a r̥ t e i j ɪ
lækjartorgi	l a i c a r tʰ ɔ r c ɪ
lækjartúni	l a i c a r̥ tʰ u n ɪ
lækjarvöllum	l a i c a r v œ t l ʏ m
lækjavöllum	l a i c a v œ t l ʏ m
lækka	l a i h k a
lækkað	l a i h k a ð
lækkaðar	l a i h k a ð a r
lækkaði	l a i h k a ð ɪ
lækkaður	l a i h k a ð ʏ r
lækkana	l a i h k a n a
lækkandi	l a i h k a n t ɪ
lækkanir	l a i h k a n ɪ r
lækkar	l a i h k a r
lækki	l a i h c ɪ
lækkuðu	l a i h k ʏ ð ʏ
lækkun	l a i h k ʏ n
lækkunar	l a i h k ʏ n a r
lækkunin	l a i h k ʏ n ɪ n
lækna	l a i h k n a
læknanemar	l a i h k n a n ɛ m a r
læknar	l a i h k n a r
læknarnir	l a i h k n a r t n ɪ r
læknastofu	l a i h k n a s t ɔ v ʏ
læknastúdent	l a i h k n a s t u t ɛ n̥ t
læknavaktin	l a i h k n a v a x t ɪ n
lækni	l a i h k n ɪ
lækningaskyni	l a i h k n i ŋ k a s c ɪ n ɪ
lækninum	l a i h k n ɪ n ʏ m
læknir	l a i h k n ɪ r
læknis	l a i h k n ɪ s
læknisaðstoðar	l a i h k n ɪ s a ð s t ɔ ð a r
læknisfræðilega	l a i h k n ɪ s f r a i ð ɪ l ɛ ɣ a
læknishendur	l a i h k n ɪ s h ɛ n t ʏ r
læknisþjónusta	l a i h k n ɪ s θ j o u n ʏ s t a
læla	l a i l a
læra	l a i r a
lærbrjóta	l a i r p r j o u t a
lærði	l a i r ð ɪ
lærðu	l a i r ð ʏ
læri	l a i r ɪ
lærið	l a i r ɪ ð
lærinu	l a i r ɪ n ʏ
lærir	l a i r ɪ r
lærisveinar	l a i r ɪ s v e i n a r
lærisveini	l a i r ɪ s v e i n ɪ
lært	l a i r̥ t
lærum	l a i r ʏ m
læsilega	l a i s ɪ l ɛ ɣ a
læst	l a i s t
læsti	l a i s t ɪ
læstist	l a i s t ɪ s t
læt	l a i t
lætin	l a i t ɪ n
lætur	l a i t ʏ r
lafmóðum	l a v m o u ð ʏ m
lag	l a ɣ
lág	l a u
laga	l a ɣ a
lagaákvæði	l a ɣ a a u kʰ v a i ð ɪ
lagabreytingar	l a ɣ a p r e i t i ŋ k a r
lagaðan	l a ɣ a ð a n
lagaðar	l a ɣ a ð a r
lágafelli	l a u a f ɛ t l ɪ
lágafellshúsi	l a u a f ɛ t l s h u s ɪ
lagagrundvöllur	l a ɣ a k r ʏ n t v œ t l ʏ r
lagakrókum	l a ɣ a kʰ r o u k ʏ m
lagaleg	l a ɣ a l ɛ ɣ
lagalega	l a ɣ a l ɛ ɣ a
lágan	l a u a n
laganema	l a ɣ a n ɛ m a
laganna	l a ɣ a n a
láganúpi	l a u a n u p ɪ
lagarási	l a ɣ a r a u s ɪ
lagarfelli	l a ɣ a r f ɛ t l ɪ
lagarfossi	l a ɣ a r f ɔ s ɪ
lagasetningu	l a k a s ɛ h t n i ŋ k ʏ
lagðar	l a ɣ ð a r
lagði	l a ɣ ð ɪ
lagðist	l a ɣ ð ɪ s t
lagðprúð	l a ɣ ð pʰ r u ð
lagður	l a ɣ ð ʏ r
lágengi	l a u e i ɲ c ɪ
laggirnar	l a c ɪ r t n a r
lágholti	l a u h ɔ l̥ t ɪ
lágholtsvegi	l a u h ɔ l̥ t s v e i j ɪ
lagi	l a j ɪ
lagið	l a j ɪ ð
lágkúru	l a u kʰ u r ʏ
laglega	l a ɣ l ɛ ɣ a
laglegan	l a ɣ l ɛ ɣ a n
láglendi	l a l ɛ n t ɪ
lágmarkar	l a u m a r̥ k a r
lágmarki	l a u m a r̥ c ɪ
lágmarksframfærslu	l a u m a r̥ k s f r a m f a i r s t l ʏ
lágmarkslaun	l a u m a r̥ k s t l ø y n
lágmarkslaunin	l a u m a r̥ k s t l ø y n ɪ n
lágmarkslaunum	l a u m a r̥ k s t l ø y n ʏ m
lágmóa	l a u m o u a
lágmúla	l a u m u l a
lagst	l a x s t
lagt	l a ɣ t
lágt	l a u t
lágu	l a u ʏ
lágumýri	l a u ʏ m i r ɪ
lágvaxnir	l a u v a x s t n ɪ r
laila	l a ɪ l a
lak	l a k
lakið	l a c ɪ ð
lakkið	l a h c ɪ ð
lakkskór	l a h k s k o u r
láku	l a u k ʏ
lálandi	l a u l a n t ɪ
lalli	l a l ɪ
lamaðar	l a m a ð a r
lambafelli	l a m p a f ɛ t l ɪ
lambakjöt	l a m p a cʰ œ t
lambalæk	l a m p a l a i k
lambalæki	l a m p a l a i c ɪ
lambanesi	l a m p a n ɛ s ɪ
lambanesreykjum	l a m p a n ɛ s r e i c ʏ m
lambastöðum	l a m p a s t œ ð ʏ m
lambavatni	l a m p a v a h t n ɪ
lambey	l a m p e i
lambeyrarbraut	l a m p e i r a r p r ø y t
lambeyri	l a m p e i r ɪ
lambhaga	l a m p h a ɣ a
lambhagavegur	l a m p h a ɣ a v ɛ ɣ ʏ r
lambhóli	l a m p h o u l ɪ
lambhúskoti	l a m p h u s k ɔ t ɪ
lambi	l a m p ɪ
lamin	l a m ɪ n
laminn	l a m ɪ n
lampa	l a m̥ p a
lán	l a u n
lana	l a n a
lána	l a u n a
lánaði	l a u n a ð ɪ
lánamálum	l a u n a m a u l ʏ m
lánanna	l a u n a n a
lánardrottna	l a u n a r t r ɔ h t n a
lánardrottnum	l a u n a r t r ɔ h t n ʏ m
lánastarfsemin	l a u n a s t a r v s ɛ m ɪ n
lánastofnunum	l a u n a s t ɔ p n ʏ n ʏ m
land	l a n t
landa	l a n t a
landað	l a n t a ð
landaði	l a n t a ð ɪ
landakoti	l a n t a kʰ ɔ t ɪ
landakotsskóla	l a n t a kʰ ɔ t s s k o u l a
landamærastöð	l a n t a m a i r a s t œ ð
landamæravörður	l a n t a m a i r a v œ r ð ʏ r
landamæri	l a n t a m a i r ɪ
landamærin	l a n t a m a i r ɪ n
landamærum	l a n t a m a i r ʏ m
landamerkjadeilu	l a n t a m ɛ r̥ c a t e i l ʏ
landamóti	l a n t a m o u t ɪ
landanna	l a n t a n a
landbroti	l a n t p r ɔ t ɪ
landbúnaðarins	l a n t p u n a ð a r ɪ n s
landbúnaðarvélar	l a n t p u n a ð a r v j ɛ l a r
landbúnaðarvörur	l a n t p u n a ð a r v œ r ʏ r
landeigendur	l a n t e i k ɛ n t ʏ r
landflótta	l a n t f l o u h t a
landflutninga	l a n t f l ʏ h t n i ŋ k a
landhelgin	l a n t h ɛ l c ɪ n
landhelgisgæslan	l a n t h ɛ l c ɪ s c a i s t l a n
landhelgisgæslunnar	l a n t h ɛ l c ɪ s c a i s t l ʏ n a r
landhelgisgæslunni	l a n t h ɛ l c ɪ s c a i s t l ʏ n ɪ
landi	l a n t ɪ
landið	l a n t ɪ ð
landinu	l a n t ɪ n ʏ
landlæg	l a n t l a i ɣ
landlæknir	l a n t l a i h k n ɪ r
landlæknis	l a n t l a i h k n ɪ s
landnám	l a n t n a u m
landnámsöld	l a n t n a u m s œ l t
lands	l a n t s
landsbanka	l a n t s p a ŋ̊ k a
landsbankahúsið	l a n t s p a ŋ̊ k a h u s ɪ ð
landsbankann	l a n t s p a ŋ̊ k a n
landsbankans	l a n t s p a ŋ̊ k a n s
landsbankanum	l a n t s p a ŋ̊ k a n ʏ m
landsbankinn	l a n t s p a u ɲ̊ c ɪ n
landsbókasafni	l a n t s p o u k a s a p n ɪ
landsbyggðin	l a n t s p ɪ ɣ ð ɪ n
landsbyggðinni	l a n t s p ɪ ɣ ð ɪ n ɪ
landsdóm	l a n t s t o u m
landsdómi	l a n t s t o u m ɪ
landsdóms	l a n t s t o u m s
landsdómur	l a n t s t o u m ʏ r
landsfund	l a n t s f ʏ n t
landsfundar	l a n t s f ʏ n t a r
landsfundur	l a n t s f ʏ n t ʏ r
landshluta	l a n t s l̥ ʏ t a
landshlutum	l a n t s l̥ ʏ t ʏ m
landsins	l a n t s ɪ n s
landskjörstjórn	l a n t s c œ r̥ s t j o u r t n
landskjörstjórnar	l a n t s c œ r̥ s t j o u r t n a r
landsleik	l a n t s t l e i k
landsleiki	l a n t s t l e i c ɪ
landsleiknum	l a n t s t l e i k n ʏ m
landslið	l a n t s t l ɪ ð
landsliðið	l a n t s t l ɪ ð ɪ ð
landsliðinu	l a n t s t l ɪ ð ɪ n ʏ
landsliðs	l a n t s t l ɪ ð s
landsliðshópur	l a n t s t l ɪ ð s h o u p ʏ r
landsliðsins	l a n t s t l ɪ ð s ɪ n s
landsliðsmaður	l a n t s t l ɪ ð s m a ð ʏ r
landsliðsmenn	l a n t s t l ɪ ð s m ɛ n
landsliðsþjálfaranum	l a n t s t l ɪ ð s θ j a u l v a r a n ʏ m
landsliðsþjálfari	l a n t s t l ɪ ð s θ j a u l v a r ɪ
landsliðsþjálfarinn	l a n t s t l ɪ ð s θ j a u l v a r ɪ n
landsmanna	l a n t s m a n a
landsmenn	l a n t s m ɛ n
landsmót	l a n t s m o u t
landspítala	l a n t s p i tʰ a l a
landspítalann	l a n t s p i tʰ a l a n
landspítalans	l a n t s p i tʰ a l a n s
landspítali	l a n t s p i tʰ a l ɪ
landspítalinn	l a n t s p i tʰ a l ɪ n
landssambands	l a n t s s a m p a n t s
landssöfnun	l a n t s s œ p n ʏ n
landsspítali	l a n t s s p i tʰ a l ɪ
landsstjórninni	l a n t s s t j o u r t n ɪ n ɪ
landstjóri	l a n t s t j o u r ɪ
landstjórnin	l a n t s t j o u r t n ɪ n
landstjórnina	l a n t s t j o u r t n ɪ n a
landsvirkjun	l a n t s v ɪ r̥ k j ʏ n
landsvirkjunar	l a n t s v ɪ r̥ k j ʏ n a r
landsvísu	l a n t s v i s ʏ
landsýn	l a n t s i n
landvættunum	l a n t v a i h t ʏ n ʏ m
landvegamótum	l a n t v ɛ ɣ a m o u tʰ ʏ m
landvegi	l a n t v e i j ɪ
landvernd	l a n t v ɛ r n t
landverndar	l a n t v ɛ r n t a r
langa	l a u ŋ k a
langadal	l a u ŋ k a t a l
langadalsströnd	l a u ŋ k a t a l s s t r œ n t
langaði	l a u ŋ k a ð ɪ
langagerði	l a u ŋ k a c ɛ r ð ɪ
langamma	l a u ŋ k a m a
langan	l a u ŋ k a n
langanesmelum	l a u ŋ k a n ɛ s m ɛ l ʏ m
langanesvegi	l a u ŋ k a n ɛ s v e i j ɪ
langar	l a u ŋ k a r
langarima	l a u ŋ k a r ɪ m a
langatanga	l a u ŋ k a tʰ a u ŋ k a
langekru	l a u ŋ k ɛ k r ʏ
langeygðir	l a u ŋ k e i ɣ ð ɪ r
langeygur	l a u ŋ k e i ɣ ʏ r
langeyjarnesi	l a u ŋ k e i j a r t n ɛ s ɪ
langeyrarvegi	l a u ŋ k e i r a r v e i j ɪ
langeyri	l a u ŋ k e i r ɪ
langferðabílinn	l a u ŋ k f ɛ r ð a p i l ɪ n
langflestar	l a u ŋ k f l ɛ s t a r
langflestir	l a u ŋ k f l ɛ s t ɪ r
langflúra	l a u ŋ k f l u r a
langhlaupara	l a u ŋ k l̥ ø y p a r a
langholti	l a u ŋ k ɔ l̥ t ɪ
langholtsfjalli	l a u ŋ k ɔ l̥ t s f j a t l ɪ
langholtskirkju	l a u ŋ k ɔ l̥ t s c ɪ r̥ c ʏ
langholtskoti	l a u ŋ k ɔ l̥ t s k ɔ t ɪ
langholtsvegi	l a u ŋ k ɔ l̥ t s v e i j ɪ
langhúsum	l a u ŋ k u s ʏ m
langir	l a u ŋ c ɪ r
langlífið	l a u ŋ k l i v ɪ ð
langlundargeð	l a u ŋ k l ʏ n t a r k ɛ ð
langmest	l a u ŋ k m ɛ s t
langreyðar	l a u ŋ k r e i ð a r
langsstöðum	l a u ŋ k s s t œ ð ʏ m
langstærsti	l a u ŋ k s t a i r s t ɪ
langstærstum	l a u ŋ k s t a i r s t ʏ m
langt	l a u ŋ k t
langtímaatvinnuleysi	l a u ŋ k tʰ i m a a t v ɪ n ʏ l e i s ɪ
langtímasamningi	l a u ŋ k tʰ i m a s a m n i ɲ c ɪ
langtímasamningum	l a u ŋ k tʰ i m a s a m n i ŋ k ʏ m
langtímaþróunin	l a u ŋ k tʰ i m a θ r o u ʏ n ɪ n
langur	l a u ŋ k ʏ r
langveik	l a u ŋ k v e i k
langveiku	l a u ŋ k v e i k ʏ
langvía	l a u ŋ k v i j a
langþráð	l a u ŋ k θ r a u ð
langþráður	l a u ŋ k θ r a u ð ʏ r
langþreyttir	l a u ŋ k θ r e i h t ɪ r
láni	l a u n ɪ
lánið	l a u n ɪ ð
lánin	l a u n ɪ n
lánsfé	l a u n s f j ɛ
lánshæfi	l a u n s h a i v ɪ
lánshæfið	l a u n s h a i v ɪ ð
lánssamningurinn	l a u n s s a m n i ŋ k ʏ r ɪ n
lántaka	l a u n tʰ a k a
lánuðu	l a u n ʏ ð ʏ
lánum	l a u n ʏ m
laos	l a ɔ s
lappirnar	l a h p ɪ r t n a r
lár	l a u r
lara	l a r a
lára	l a u r a
lárensína	l a u r ɛ n s i n a
láretta	l a u r ɛ h t a
lars	l a r̥ s
lárus	l a u r ʏ s
las	l a s
laskað	l a s k a ð
lát	l a u t
láta	l a u t a
látast	l a u t a s t
láti	l a u t ɪ
látið	l a u t ɪ ð
látin	l a u t ɪ n
látinn	l a u t ɪ n
látinna	l a u t ɪ n a
látins	l a u t ɪ n s
látist	l a u t ɪ s t
látna	l a u h t n a
látnar	l a u h t n a r
látnir	l a u h t n ɪ r
látnu	l a u h t n ʏ
látraseli	l a u t r a s ɛ l ɪ
látum	l a u t ʏ m
latur	l a t ʏ r
laufar	l ø y v a r
laufás	l ø y v a u s
laufási	l ø y v a u s ɪ
laufbrekku	l ø y v p r ɛ h k ʏ
laufengi	l ø y v e i ɲ c ɪ
laufhaga	l ø y v h a ɣ a
laufheiður	l ø y v h e i ð ʏ r
laufhildur	l ø y v h ɪ l t ʏ r
laufhóli	l ø y v h o u l ɪ
laufkvist	l ø y v kʰ v ɪ s t
laufland	l ø y v l a n t
laufrima	l ø y v r ɪ m a
laufskálum	l ø y v s k a u l ʏ m
laufskógum	l ø y v s k o u ʏ m
lauftúni	l ø y v tʰ u n ɪ
laufvangi	l ø y v v a u ŋ c ɪ
laug	l ø y ɣ
lauga	l ø y ɣ a
laugabóli	l ø y ɣ a p o u l ɪ
laugaborg	l ø y ɣ a p ɔ r k
laugabrekku	l ø y ɣ a p r ɛ h k ʏ
laugabúð	l ø y ɣ a p u ð
laugagerði	l ø y ɣ a c ɛ r ð ɪ
laugagerðisskóla	l ø y ɣ a c ɛ r ð ɪ s s k o u l a
laugahlíð	l ø y ɣ a l̥ i ð
laugalæk	l ø y ɣ a l a i k
laugalandi	l ø y ɣ a l a n t ɪ
laugalind	l ø y ɣ a l ɪ n t
laugarási	l ø y ɣ a r a u s ɪ
laugarásvegi	l ø y ɣ a r a u s v e i j ɪ
laugarbæ	l ø y ɣ a r p a i
laugarbakka	l ø y ɣ a r p a h k a
laugarbökkum	l ø y ɣ a r p œ h k ʏ m
laugarbóli	l ø y ɣ a r p o u l ɪ
laugarborg	l ø y ɣ a r p ɔ r k
laugarbraut	l ø y ɣ a r p r ø y t
laugarbrekku	l ø y ɣ a r p r ɛ h k ʏ
laugardag	l ø y ɣ a r t a ɣ
laugardaga	l ø y ɣ a r t a ɣ a
laugardagana	l ø y ɣ a r t a ɣ a n a
laugardaganna	l ø y ɣ a r t a ɣ a n a
laugardagar	l ø y ɣ a r t a ɣ a r
laugardagarnir	l ø y ɣ a r t a ɣ a r t n ɪ r
