a	ox
karemananipun	k a r ex m a n a n i p u n
karemané	k a r ex m a n e
karemenan	k a r ex m ex n a n
karemenané	k a r ex m ex n a n e
karen	k a r ex n
karena	k a r ex n ox
karenan	k a r ex n a n
karendem	k a r ex n d ex m
karenina	k a r ex n i n ox
karep	k a r ex p
karepake	k a r ex p a k ex
karepaken	k a r ex p a k ex n
karepe	k a r ex p ex
karepmu	k a r ex p m u
karepé	k a r ex p e
karer	k a r ex r
karesidenan	k a r ex s i d ex n a n
karesidhenan	k a r ex s i dh ex n a n
karesikan	k a r ex s i k a n
kareston	k a r ex s t o n
karet	k a r ex t
kargo	k a r g o
kari	k a r i
kariba	k a r i b ox
karibia	k a r i b i ox
karier	k a r i ex r
kariere	k a r i ex r ex
karieripun	k a r i ex r i p u n
karieré	k a r i ex r e
karies	k a r i ex s
karikatur	k a r i k a t u r
karikaturipun	k a r i k a t u r i p u n
karikaturis	k a r i k a t u r i s
karim	k a r i m
karimata	k a r i m ox t ox
karimi	k a r i m i
karimnagar	k a r i m n a g a r
karimun	k a r i m u n
karimunjawa	k a r i m u ny ox w ox
karina	k a r i n ox
karing	k a r i ng
karipta	k a r i p t ox
karir	k a r i r
karire	k a r i r ex
kariripun	k a r i r i p u n
kariré	k a r i r e
karis	k a r i s
karisakan	k a r i s a k a n
karise	k a r i s ex
karissa	k a r i s s ox
kariwayatake	k a r i w a y a t a k ex
karièr	k a r i e r
kariér	k a r i e r
kariéripun	k a r i e r i p u n
karkono	k a r k o n o
karksa	k ox r k s ox
karl	k a r l
karma	k ox r m ox
karmanipun	k a r m a n i p u n
karmela	k a r m ex l ox
karmelia	k a r m ex l i ox
karmelit	k a r m ex l i t
karmila	k a r m i l ox
karna	k ox r n ox
karnaval	k a r n a f a l
karnavian	k a r n a f i a n
karni	k a r n i
karnivora	k a r n i f o r ox
karno	k a r n o
karnos	k a r n o s
karo	k a r o
karoadipati	k a r o a d i p a t i
karoge	k a r o g ex
karohanèn	k a r o h a n e n
karolas	k a r o l a s
karoli	k a r o l i
karomathias	k a r o m a th i a s
karoncé	k a r o n c e
karone	k a r o n ex
karong	k a r o ng
karoné	k a r o n e
karoo	k a r o o
karosane	k a r o s a n ex
karosta	k a r o s t ox
karot	k a r o t
karoten	k a r o t ex n
karp	k a r p
karpatia	k a r p a t i ox
karper	k a r p ex r
karpet	k a r p ex t
karsa	k ox r s ox
karsane	k a r s a n ex
karsanipun	k a r s a n i p u n
karsané	k a r s a n e
karsid	k a r s i d
karsidi	k a r s i d i
karsinogenik	k a r s i n o g ex n i '
karst	k a r s t
karsten	k a r s t ex n
karstifikasi	k a r s t i f i k a s i
karta	k ox r t ox
kartamarma	k ox r t ox m ox r m ox
kartanagara	k ox r t ox n ox g ox r ox
kartanegara	k a r t a n ex g ox r ox
kartapati	k a r t a p a t i
kartasura	k a r t a s u r ox
kartasuran	k a r t a s u r a n
kartawarma	k ox r t ox w ox r m ox
kartawirya	k a r t a w i r y ox
karte	k a r t ex
kartesius	k a r t ex s i u s
kartika	k a r t i k ox
kartiko	k a r t i k o
kartini	k a r t i n i
kartiyus	k a r t i y u s
kartoatmodjo	k a r t o a t m o j o
kartodirdjo	k a r t o d i r j o
kartografi	k a r t o g r a f i
karton	k a r t o n
kartoprawiro	k a r t o p r a w i r o
kartosoewirjo	k a r t o s u w i r j o
kartosuro	k a r t o s u r o
kartowirodji	k a r t o w i r o j i
kartu	k a r t u
kartumu	k a r t u m u
kartun	k a r t u n
kartunis	k a r t u n i s
karu	k a r u
karuan	k a r u a n
karuhun	k a r u h u n
karukunan	k a r u k u n a n
karumat	k a r u m a t
karumitan	k a r u m i t a n
karung	k a r u ng
karunia	k a r u n i ox
karuntuhan	k a r u n t u h a n
karusakaan	k a r u s a k a a n
karusakan	k a r u s a k a n
karusuhan	k a r u s u h a n
karuta	k a r u t ox
karuwan	k a r u w a n
karuwangan	k a r u w a ng a n
karya	k ox r y ox
karyadina	k a r y a d i n ox
karyane	k a r y a n ex
karyaning	k a r y a n i ng
karyanipun	k a r y a n i p u n
karyanya	k ox r y ox ny ox
karyané	k a r y a n e
karyawan	k a r y a w a n
karyawane	k a r y a w a n ex
karyawisata	k a r y a w i s ox t ox
karyawn	k a r y a w n
karyes	k a r y ex s
karzai	k a r z a i
karzi	k a r z i
karèt	k a r e t
karédhok	k a r e dh o '
karét	k a r e t
karétipun	k a r e t i p u n
kas	k a s
kasad	k a s a d
kasadaran	k a s a d a r a n
kasadharan	k a s a dh a r a n
kasadia	k a s a d i ox
kasagedan	k a s a g ex d a n
kasagedanipun	k a s a g ex d a n i p u n
kasaguhané	k a s a g u h a n e
kasajahtran	k a s a j a h t r a n
kasak	k ox s ox '
kasaktene	k a s a k t ex n ex
kasaktèné	k a s a k t e n e
kasalahan	k a s a l a h a n
kasalahpahaman	k a s a l a h p a h a m a n
kasalametan	k a s a l a m ex t a n
kasaluruhan	k a s a l u r u h a n
kasama	k ox s ox m ox
kasambet	k a s a m b ex t
kasambung	k a s a m b u ng
kasambut	k a s a m b u t
kasampurnan	k a s a m p u r n a n
kasampurnaning	k a s a m p u r n a n i ng
kasan	k a s a n
kasang	k a s a ng
kasanga	k ox s ox ng ox
kasangsaran	k a s a ng s a r a n
kasangsarané	k a s a ng s a r a n e
kasangé	k a s a ng e
kasantosan	k a s a n t o s a n
kasar	k a s a r
kasaragod	k a s a r a g o d
kasaranipun	k a s a r a n i p u n
kasarasan	k a s a r a s a n
kasarasanipun	k a s a r a s a n i p u n
kasarekaken	k a s a r ex k a k ex n
kasarujukan	k a s a r u j u k a n
kasarung	k a s a r u ng
kasarèkaken	k a s a r e k a k ex n
kasaré	k a s a r e
kasat	k a s a t
kasatriyan	k a s a t r i y a n
kasatriyane	k a s a t r i y a n ex
kasatriyané	k a s a t r i y a n e
kasatus	k a s a t u s
kasayangane	k a s a y a ng a n ex
kasaénan	k a s a e n a n
kasblanka	k ox s b l ox n k ox
kasebab	k a s ex b a b
kasebar	k a s ex b a r
kasebarake	k a s ex b a r a k ex
kasebat	k a s ex b a t
kasebut	k a s ex b u t
kasebutaké	k a s ex b u t a k e
kasedhot	k a s ex dh o t
kasedia	k a s ex d i ox
kasedyakaké	k a s ex d y a k a k e
kaseebat	k a s ex ex b a t
kasehatan	k a s ex h a t a n
kaseimbangan	k a s ex i m b a ng a n
kaseimbangané	k a s ex i m b a ng a n e
kasejahteraan	k a s ex j a h t ex r a a n
kasejahteran	k a s ex j a h t ex r a n
kasekawan	k a s ex k a w a n
kasekawanipun	k a s ex k a w a n i p u n
kasekten	k a s ex k t ex n
kasektenipun	k a s ex k t ex n i p u n
kasektené	k a s ex k t ex n e
kasektèn	k a s ex k t e n
kasektènipun	k a s ex k t e n i p u n
kasektèné	k a s ex k t e n e
kasekténé	k a s ex k t e n e
kasela	k a s ex l ox
kaseluruhan	k a s ex l u r u h a n
kasembadan	k a s ex m b a d a n
kasempatan	k a s ex m p a t a n
kasenangan	k a s ex n a ng a n
kasenengan	k a s ex n ex ng a n
kasenengane	k a s ex n ex ng a n ex
kasenengané	k a s ex n ex ng a n e
kasengkuyung	k a s ex ng k u y u ng
kasengsarane	k a s ex ng s a r a n ex
kasengsem	k a s ex ng s ex m
kasenian	k a s ex n i a n
kasenjangan	k a s ex ny a ng a n
kasep	k a s ex p
kasepakatan	k a s ex p a k a t a n
kasepuhan	k a s ex p u h a n
kasepuluh	k a s ex p u l u h
kaserang	k a s ex r a ng
kaserat	k a s ex r a t
kaserep	k a s ex r ex p
kasertaan	k a s ex r t a a n
kasertan	k a s ex r t a n
kaseser	k a s ex s ex r
kasesuaiake	k a s ex s u a i a k ex
kaset	k a s ex t
kasetangkupan	k a s ex t a ng k u p a n
kasetimbangan	k a s ex t i m b a ng a n
kasetipun	k a s ex t i p u n
kasetyan	k a s ex t y a n
kasewelas	k a s ex w ex l a s
kasewelasan	k a s ex w ex l a s a n
kashalihan	k a sy a l i h a n
kashima	k a sy i m ox
kashiwahara	k a sy i w ox h ox r ox
kashiwamochi	k a sy i w a m o kh i
kashmir	k a sy m i r
kasi	k a s i
kasiapan	k a s i a p a n
kasiar	k a s i a r
kasiat	k a s i a t
kasiate	k a s i a t ex
kasiaté	k a s i a t e
kasibukan	k a s i b u k a n
kasibukane	k a s i b u k a n ex
kasifat	k a s i f a t
kasih	k a s i h
kasihan	k a s i h a n
kasihong	k a s i h o ng
kasiji	k a s i j i
kasiksa	k a s i k s ox
kasil	k a s i l
kasilaken	k a s i l a k ex n
kasilaké	k a s i l a k e
kasile	k a s i l ex
kasilem	k a s i l ex m
kasilih	k a s i l i h
kasiling	k a s i l i ng
kasilipun	k a s i l i p u n
kasilé	k a s i l e
kasim	k a s i m
kasimier	k a s i m i ex r
kasimiliali	k a s i m i l i a l i
kasimpar	k a s i m p a r
kasimpen	k a s i m p ex n
kasinggung	k a s i ng g u ng
kasingkat	k a s i ng k a t
kasino	k a s i n o
kasinungan	k a s i n u ng a n
kasiramaken	k a s i r a m a k ex n
kasis	k a s i s
kasisa	k a s i s ox
kasisik	k a s i s i '
kasiyarno	k a s i y a r n o
kasiyat	k a s i y a t
kasiyate	k a s i y a t ex
kasiyun	k a s i y u n
kask	k a s '
kaskus	k a s k u s
kaskuser	k a s k u s ex r
kaslametaken	k a s l a m ex t a k ex n
kaslametan	k a s l a m ex t a n
kaslametané	k a s l a m ex t a n e
kasluruhan	k a s l u r u h a n
kasmaran	k a s m a r a n
kaso	k a s o
kasohor	k a s o h o r
kasoklatan	k a s o k l a t a n
kasongan	k a s o ng a n
kasor	k a s o r
kasoran	k a s o r a n
kaspa	k ox s p ox
kasparov	k a s p a r o f
kaspe	k a s p ex
kaspi	k a s p i
kaspia	k a s p i ox
kasri	k a s r i
kasripahan	k a s r i p a h a n
kassebat	k a s s ex b a t
kassel	k a s s ex l
kassen	k a s s ex n
kasta	k ox s t ox
kastabilan	k a s t a b i l a n
kastamiwan	k a s t a m i w a n
kastanya	k ox s t ox ny ox
kastel	k a s t ex l
kasti	k a s t i
kastil	k a s t i l
kastilia	k a s t i l i ox
kasting	k a s t i ng
kastler	k a s t l ex r
kastoria	k a s t o r i ox
kastrolipun	k a s t r o l i p u n
kasturi	k a s t u r i
kasual	k a s u a l
kasuari	k a s u a r i
kasuarina	k a s u a r i n ox
kasuburan	k a s u b u r a n
kasuburané	k a s u b u r a n e
kasucen	k a s u c ex n
kasucian	k a s u c i a n
kasuciyan	k a s u c i y a n
kasucèn	k a s u c e n
kasudibyan	k a s u d i b y a n
kasugihan	k a s u g i h a n
kasugihanipun	k a s u g i h a n i p u n
kasujanan	k a s u j a n a n
kasukaran	k a s u k a r a n
kasuksesan	k a s u k s ex s a n
kasuksesanipun	k a s u k s ex s a n i p u n
kasuksèsan	k a s u k s e s a n
kasuksèsanipun	k a s u k s e s a n i p u n
kasuksèsané	k a s u k s e s a n e
kasuksésan	k a s u k s e s a n
kasuksésanipun	k a s u k s e s a n i p u n
kasulistyané	k a s u l i s t y a n e
kasultanan	k a s u l t a n a n
kasumadyan	k a s u m a d y a n
kasumerepan	k a s u m ex r ex p a n
kasunanan	k a s u n a n a n
kasungsun	k a s u ng s u n
kasunyatan	k a s u ny a t a n
kasunyatane	k a s u ny a t a n ex
kasunyatanipun	k a s u ny a t a n i p u n
kasur	k a s u r
kasurung	k a s u r u ng
kasus	k a s u s
kasusastran	k a s u s a s t r a n
kasuse	k a s u s ex
kasusilan	k a s u s i l a n
kasusul	k a s u s u l
kasusun	k a s u s u n
kasut	k a s u t
kasutapané	k a s u t a p a n e
kasuwun	k a s u w u n
kasuwungan	k a s u w u ng a n
kasuwur	k a s u w u r
kaswargan	k a s w a r g a n
kasyafani	k a sy a f a n i
kasèbut	k a s e b u t
kasèrèt	k a s e r e t
kasèt	k a s e t
kasèté	k a s e t e
kasébut	k a s e b u t
kasédan	k a s e d a n
kaséhatah	k a s e h a t a h
kaséhatan	k a s e h a t a n
kaséhatanipun	k a s e h a t a n i p u n
kaséin	k a s e i n
kasêbar	k a s e b a r
kasêhatan	k a s e h a t a n
kata	k ox t ox
kataatan	k a t a a t a n
katabolisme	k a t a b o l i s m ex
katagalugan	k a t a g a l u g a n
katah	k a t a h
katai	k a t a i
katak	k ox t ox '
katakita	k a t a k i t ox
katalan	k a t a l a n
katalase	k a t a l a s ex
katalis	k a t a l i s
katalisa	k a t a l i s ox
kataliti	k a t a l i t i
katalog	k a t a l o g
katalonia	k a t a l o n i ox
katalèn	k a t a l e n
kataman	k a t a m a n
katambah	k a t a m b a h
katambahaken	k a t a m b a h a k ex n
katamtu	k a t a m t u
katan	k a t a n
katana	k ox t ox n ox
katandingaken	k a t a n d i ng a k ex n
katanem	k a t a n ex m
katang	k a t a ng
katarik	k a t a r i '
katarike	k a t a r i k ex
katarina	k a t a r i n ox
katata	k ox t ox t ox
katatah	k a t a t a h
katayama	k ox t ox y ox m ox
kate	k a t ex
katebas	k a t ex b a s
katedral	k a t ex d r a l
kategori	k a t ex g o r i
katekadan	k a t ex k a d a n
katekan	k a t ex k a n
katekonan	k a t ex k o n a n
katekunane	k a t ex k u n a n ex
katelah	k a t ex l a h
katelitian	k a t ex l i t i a n
katelu	k a t ex l u
katelulikur	k a t ex l u l i k u r
katelune	k a t ex l u n ex
kateluné	k a t ex l u n e
katembak	k a t ex m b ox '
katemoaken	k a t ex m o a k ex n
katemokaken	k a t ex m o k a k ex n
katemokaké	k a t ex m o k a k e
katemon	k a t ex m o n
katemtokaké	k a t ex m t o k a k e
katenangan	k a t ex n a ng a n
katenaran	k a t ex n a r a n
katenggengen	k a t ex ng g ex ng ex n
katentaraan	k a t ex n t a r a a n
katentreman	k a t ex n t r ex m a n
katerangaken	k a t ex r a ng a k ex n
katerasan	k a t ex r a s a n
kateraturan	k a t ex r a t u r a n
katerini	k a t ex r i n i
katertiban	k a t ex r t i b a n
katetepaké	k a t ex t ex p a k e
katha	k ox th ox
kathah	k a th a h
kathahaken	k a th a h a k ex n
kathahing	k a th a h i ng
kathahipun	k a th a h i p u n
kathaipun	k a th a i p u n
katharine	k a th a r i n ex
kathat	k a th a t
kathha	k ox th h ox
kathi	k a th i
kathiawar	k a th i a w a r
kathleen	k a th l ex ex n
kathok	k a th o '
kathoke	k a th o k ex
katholik	k a th o l i '
katholische	k a th o l i s kh ex
kathryn	k a th r y n
katie	k a t i ex
katiga	k a t i g ox
katiganipun	k a t i g a n i p u n
katilar	k a t i l a r
katilik	k a t i l i '
katimbang	k a t i m b a ng
katimbulaken	k a t i m b u l a k ex n
katindak	k a t i n d ox '
katindakake	k a t i n d a k a k ex
katindakaken	k a t i n d a k a k ex n
katingal	k a t i ng a l
katingalipun	k a t i ng a l i p u n
katingan	k a t i ng a n
katingkatake	k a t i ng k a t a k ex
katipunan	k a t i p u n a n
katitahaken	k a t i t a h a k ex n
katitik	k a t i t i '
katiwasan	k a t i w a s a n
katliten	k a t l i t ex n
katniss	k a t n i s s
katno	k a t n o
kato	k a t o
katolak	k a t o l ox '
katolik	k a t o l i '
katon	k a t o n
katonané	k a t o n a n e
katone	k a t o n ex
katong	k a t o ng
katonipun	k a t o n i p u n
katoné	k a t o n e
katoppo	k a t o p p o
katos	k a t o s
katosen	k a t o s ex n
katowice	k a t o w i c ex
katppo	k a t p p o
katrajang	k a t r a j a ng
katrampilan	k a t r a m p i l a n
katrangan	k a t r a ng a n
katranganipun	k a t r a ng a n i p u n
katrangané	k a t r a ng a n e
katresnan	k a t r ex s n a n
katresnane	k a t r ex s n a n ex
katresnaning	k a t r ex s n a n i ng
katresnané	k a t r ex s n a n e
katrina	k a t r i n ox
katsav	k a t s a f
katsir	k a t s i r
katsunori	k a t s u n o r i
katsuo	k a t s u o
katsuobushi	k a t s u o b u sy i
katsuwonus	k a t s u w o n u s
katsuyuki	k a t s u y u k i
kattowitz	k a t t o w i t z
katuari	k a t u a r i
katujokakaen	k a t u j o k a k a ex n
katujokake	k a t u j o k a k ex
katujokaken	k a t u j o k a k ex n
katujokaké	k a t u j o k a k e
katuk	k a t u '
katul	k a t u l
katularan	k a t u l a r a n
katulik	k a t u l i '
katulis	k a t u l i s
katulisaké	k a t u l i s a k e
katulistiwa	k a t u l i s t i w ox
katulistwa	k a t u l i s t w ox
katulung	k a t u l u ng
katumpes	k a t u m p ex s
katun	k a t u n
katundhung	k a t u n dh u ng
katup	k a t u p
katur	k a t u r
katurun	k a t u r u n
katurunake	k a t u r u n a k ex
katurunaké	k a t u r u n a k e
katurunan	k a t u r u n a n
katurunaning	k a t u r u n a n i ng
katurunané	k a t u r u n a n e
katurut	k a t u r u t
katusuk	k a t u s u '
katut	k a t u t
katutup	k a t u t u p
katwijk	k a t w i j '
katy	k a t y
katès	k a t e s
katé	k a t e
katêntrêman	k a t e n t r e m a n
kau	k a u
kauangan	k a u a ng a n
kaubengi	k a u b ex ng i
kaubung	k a u b u ng
kaubungaken	k a u b u ng a k ex n
kaucap	k a u c a p
kauji	k a u j i
kaukasus	k a u k a s u s
kaukir	k a u k i r
kaul	k a u l
kaum	k a u m
kauman	k a u m a n
kaumumanipun	k a u m u m a n i p u n
kaumé	k a u m e
kaunang	k a u n a ng
kauncalaké	k a u n c a l a k e
kaunggulan	k a u ng g u l a n
kaunggulanipun	k a u ng g u l a n i p u n
kaungkulan	k a u ng k u l a n
kaunikan	k a u n i k a n
kauningana	k a u n i ng ox n ox
kauntungan	k a u n t u ng a n
kaur	k a u r
kauripan	k a u r i p a n
kauripane	k a u r i p a n ex
kauripané	k a u r i p a n e
kaurlambang	k a u r l a m b a ng
kaurmatan	k a u r m a t a n
kaurmotto	k a u r m o t t o
kaushika	k a u sy i k ox
kausir	k a u s i r
kauskupan	k a u s k u p a n
kautamaan	k a u t a m a a n
kautaman	k a u t a m a n
kautsar	k a u t s a r
kautus	k a u t u s
kauwalan	k a u w a l a n
kauwangan	k a u w a ng a n
kav	k a f
kavaleri	k a f a l ex r i
kawaca	k ox w ox c ox
kawah	k a w a h
kawajiban	k a w a j i b a n
kawak	k ox w ox '
kawakan	k a w a k a n
kawakibi	k a w a k i b i
kawakwa	k ox w ox k w ox
kawalikan	k a w a l i k a n
kawan	k a w a n
kawandya	k ox w ox n d y ox
kawanen	k a w a n ex n
kawangsulaken	k a w a ng s u l a k ex n
kawangun	k a w a ng u n
kawanguné	k a w a ng u n e
kawanitan	k a w a n i t a n
kawantunan	k a w a n t u n a n
kawanèn	k a w a n e n
kawarasan	k a w a r a s a n
kawarganagaraan	k a w a r g a n a g a r a a n
kawarganagaran	k a w a r g a n a g a r a n
kawaruh	k a w a r u h
kawasaki	k a w a s a k i
kawasan	k a w a s a n
kawasananak	k ox w ox s ox n ox n ox '
kawasané	k a w a s a n e
kawasisan	k a w a s i s a n
kawasisanipun	k a w a s i s a n i p u n
kawastanan	k a w a s t a n a n
kawat	k a w a t
kawates	k a w a t ex s
kawatesaning	k a w a t ex s a n i ng
kawatesi	k a w a t ex s i
kawedanan	k a w ex d a n a n
kawedaraning	k a w ex d a r a n i ng
kaweden	k a w ex d ex n
kawedèn	k a w ex d e n
kawedén	k a w ex d e n
kawegigan	k a w ex g i g a n
kawegiganipun	k a w ex g i g a n i p u n
kawelomahamahai	k a w ex l o m a h a m a h a i
kawenangan	k a w ex n a ng a n
kaweningan	k a w ex n i ng a n
kawentar	k a w ex n t a r
kawentuké	k a w ex n t u k e
kaweruh	k a w ex r u h
kawestanan	k a w ex s t a n a n
kawetoaké	k a w ex t o a k e
kawetokaké	k a w ex t o k a k e
kawewengkonan	k a w ex w ex ng k o n a n
kawi	k a w i
kawibawan	k a w i b a w a n
kawicaksanaan	k a w i c a k s a n a a n
kawicaksanan	k a w i c a k s a n a n
kawigaten	k a w i g a t ex n
kawigatosan	k a w i g a t o s a n
kawigatosanipun	k a w i g a t o s a n i p u n
kawigatèn	k a w i g a t e n
kawigatén	k a w i g a t e n
kawijayan	k a w i j a y a n
kawijayané	k a w i j a y a n e
kawin	k a w i n
kawinan	k a w i n a n
kawinane	k a w i n a n ex
kawinipun	k a w i n i p u n
kawiné	k a w i n e
kawirangane	k a w i r a ng a n ex
kawis	k a w i s
kawista	k a w i s t ox
kawistara	k a w i s t ox r ox
kawisésan	k a w i s e s a n
kawit	k a w i t
kawitan	k a w i t a n
kawitane	k a w i t a n ex
kawitanipun	k a w i t a n i p u n
kawitané	k a w i t a n e
kawiwit	k a w i w i t
kawiwitan	k a w i w i t a n
kawiwiti	k a w i w i t i
kawiyarna	k a w i y ox r n ox
kawntar	k a w n t a r
kawolu	k a w o l u
kawolulas	k a w o l u l a s
kawon	k a w o n
kawonipun	k a w o n i p u n
kawontenan	k a w o n t ex n a n
kawontenane	k a w o n t ex n a n ex
kawontenanipun	k a w o n t ex n a n i p u n
kawontenannipun	k a w o n t ex n a n n i p u n
kawontenipun	k a w o n t ex n i p u n
kawontênan	k a w o n t e n a n
kawrat	k a w r a t
kawratan	k a w r a t a n
kawruh	k a w r u h
kawruhipun	k a w r u h i p u n
kawudonan	k a w u d o n a n
kawujud	k a w u j u d
kawula	k a w u l ox
kawulanipun	k a w u l a n i p u n
kawulané	k a w u l a n e
kawungkus	k a w u ng k u s
kawuri	k a w u r i
kawurungan	k a w u r u ng a n
kawutané	k a w u t a n e
kawya	k ox w y ox
kawèstanan	k a w e s t a n a n
kawéntar	k a w e n t a r
kay	k a y
kaya	k ox y ox
kayadene	k a y a d ex n ex
kayadeneagus	k a y a d ex n ex a g u s
kayadené	k a y a d ex n e
kayadéné	k a y a d e n e
kayai	k a y a i
kayak	k ox y ox '
kayakinan	k a y a k i n a n
kayane	k a y a n ex
kayangan	k a y a ng a n
kayané	k a y a n e
kayapodeng	k a y a p o d ex ng
kayata	k ox y ox t ox
kayatakabehé	k a y a t a k a b ex h e
kayatå	k a y a t ox
kayaé	k a y a e
kayen	k a y ex n
kayet	k a y ex t
kayla	k ox y l ox
kayon	k a y o n
kayu	k a y u
kayumwungun	k a y u m w u ng u n
kayun	k a y u n
kayunan	k a y u n a n
kayunipun	k a y u n i p u n
kayuné	k a y u n e
kayuwangi	k a y u w a ng i
kazakh	k a z a kh
kazakhstan	k a z a kh s t a n
kazakstan	k a z a k s t a n
kazmir	k a z m i r
kazuyoshi	k a z u y o sy i
kaèlmuan	k a e l m u a n
kaèlmuwané	k a e l m u w a n e
kaèndahanipun	k a e n d a h a n i p u n
kaé	k a e
kaélmuan	k a e l m u a n
kaéndahan	k a e n d a h a n
ke	k ex
keabadian	k ex a b a d i a n
keabsahanipun	k ex a b s a h a n i p u n
keadaan	k ex a d a a n
keadean	k ex a d ex a n
keadilan	k ex a d i l a n
keadipatian	k ex a d i p a t i a n
keagamaan	k ex a g a m a a n
keagamaane	k ex a g a m a a n ex
keagamaané	k ex a g a m a a n e
keagungan	k ex a g u ng a n
keahlian	k ex a h l i a n
keajaiban	k ex a j a i b a n
keaktifan	k ex a k t i f a n
keamanan	k ex a m a n a n
keane	k ex a n ex
keanehan	k ex a n ex h a n
keanekaragaman	k ex a n ex k a r a g a m a n
keangelan	k ex a ng ex l a n
keanggotaan	k ex a ng g o t a a n
keanggotaané	k ex a ng g o t a a n e
keanu	k ex a n u
keanékaragaman	k ex a n e k a r a g a m a n
kearah	k ex a r a h
kearifan	k ex a r i f a n
kearsipan	k ex a r s i p a n
keasaman	k ex a s a m a n
keaslianipun	k ex a s l i a n i p u n
keasliané	k ex a s l i a n e
keating	k ex a t i ng
keaton	k ex a t o n
keawonan	k ex a w o n a n
keayuanipun	k ex a y u a n i p u n
kebab	k ex b a b
kebaceken	k ex b a c ex k ex n
kebacut	k ex b a c u t
kebacékén	k ex b a c e k e n
kebagi	k ex b a g i
kebagian	k ex b a g i a n
kebahagiaan	k ex b a h a g i a a n
kebak	k ex b ox '
kebakar	k ex b a k a r
kebakaran	k ex b a k a r a n
kebane	k ex b a n ex
kebanggaan	k ex b a ng g a a n
kebangkitan	k ex b a ng k i t a n
kebangsaan	k ex b a ng s a a n
kebangsaankoe	k ex b a ng s a a n k u
kebangsaanku	k ex b a ng s a a n k u
kebangsaané	k ex b a ng s a a n e
kebangsawanan	k ex b a ng s a w a n a n
